source,row_type,scenario,phase,category,miss_reason,classification,grid_axis,collection_required,expected,bucket_tokens,decode_batch,bucket_min,bucket_max,decode_batch_min,decode_batch_max,unique_points,count,collection_note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,collective_other,hit,covered,none,false,true,,,,,,,8,18,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,32,32,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,ep_a2a,decode_batch_above_range,in_scope_grid_gap,decode_batch_high,true,true,,,,,,,1,1,collect higher decode_batch grid points for this phase/category,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,ep_a2a,hit,covered,none,false,true,,,,,,,8,18,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,moe_gemm_or_aux,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,32,32,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,moe_gemm_or_aux,decode_batch_above_range,in_scope_grid_gap,decode_batch_high,true,true,,,,,,,1,1,collect higher decode_batch grid points for this phase/category,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,moe_gemm_or_aux,hit,covered,none,false,true,,,,,,,8,18,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,other_cuda,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,32,32,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,other_cuda,decode_batch_above_range,in_scope_grid_gap,decode_batch_high,true,true,,,,,,,1,1,collect higher decode_batch grid points for this phase/category,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,mixed_prefill,other_cuda,hit,covered,none,false,true,,,,,,,8,18,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,prefill,collective_other,table_missing,expected_pure_prefill_fallback,pure_prefill_not_in_serving_state_table,false,true,,,,,,,1,1,pure prefill remains on the baseline model; Phase437 targets mixed_prefill and decode,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,prefill,ep_a2a,table_missing,expected_pure_prefill_fallback,pure_prefill_not_in_serving_state_table,false,true,,,,,,,1,1,pure prefill remains on the baseline model; Phase437 targets mixed_prefill and decode,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,prefill,moe_gemm_or_aux,table_missing,expected_pure_prefill_fallback,pure_prefill_not_in_serving_state_table,false,true,,,,,,,1,1,pure prefill remains on the baseline model; Phase437 targets mixed_prefill and decode,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-32k3k,prefill,other_cuda,table_missing,expected_pure_prefill_fallback,pure_prefill_not_in_serving_state_table,false,true,,,,,,,1,1,pure prefill remains on the baseline model; Phase437 targets mixed_prefill and decode,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,collective_other,bucket_above_range,in_scope_grid_gap,token_or_decode_bucket_high,true,true,,,,,,,12,15,collect higher token bucket points; decode phase uses bucket_tokens=decode_batch,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,7,7,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,collective_other,hit,covered,none,false,true,,,,,,,3,3,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,collective_other,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,,,,,,,42,42,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,bucket_above_range,in_scope_grid_gap,token_or_decode_bucket_high,true,true,,,,,,,12,15,collect higher token bucket points; decode phase uses bucket_tokens=decode_batch,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,7,7,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,hit,covered,none,false,true,,,,,,,3,3,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,,,,,,,42,42,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,bucket_above_range,in_scope_grid_gap,token_or_decode_bucket_high,true,true,,,,,,,12,15,collect higher token bucket points; decode phase uses bucket_tokens=decode_batch,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,7,7,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,hit,covered,none,false,true,,,,,,,3,3,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,,,,,,,42,42,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,bucket_above_range,in_scope_grid_gap,token_or_decode_bucket_high,true,true,,,,,,,12,15,collect higher token bucket points; decode phase uses bucket_tokens=decode_batch,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,7,7,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,hit,covered,none,false,true,,,,,,,3,3,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,,,,,,,42,42,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,3,3,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,collective_other,decode_batch_above_range,in_scope_grid_gap,decode_batch_high,true,true,,,,,,,62,66,collect higher decode_batch grid points for this phase/category,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,collective_other,hit,covered,none,false,true,,,,,,,1,2,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,3,3,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,decode_batch_above_range,in_scope_grid_gap,decode_batch_high,true,true,,,,,,,29,33,collect higher decode_batch grid points for this phase/category,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,hit,covered,none,false,true,,,,,,,34,35,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,moe_gemm_or_aux,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,3,3,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,moe_gemm_or_aux,decode_batch_above_range,in_scope_grid_gap,decode_batch_high,true,true,,,,,,,29,33,collect higher decode_batch grid points for this phase/category,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,moe_gemm_or_aux,hit,covered,none,false,true,,,,,,,34,35,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,other_cuda,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,,,,,,,3,3,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,other_cuda,decode_batch_above_range,in_scope_grid_gap,decode_batch_high,true,true,,,,,,,29,33,collect higher decode_batch grid points for this phase/category,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,mixed_prefill,other_cuda,hit,covered,none,false,true,,,,,,,34,35,serving-state query already hits the measured grid,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,prefill,collective_other,table_missing,expected_pure_prefill_fallback,pure_prefill_not_in_serving_state_table,false,true,,,,,,,1,1,pure prefill remains on the baseline model; Phase437 targets mixed_prefill and decode,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,prefill,ep_a2a,table_missing,expected_pure_prefill_fallback,pure_prefill_not_in_serving_state_table,false,true,,,,,,,1,1,pure prefill remains on the baseline model; Phase437 targets mixed_prefill and decode,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,prefill,moe_gemm_or_aux,table_missing,expected_pure_prefill_fallback,pure_prefill_not_in_serving_state_table,false,true,,,,,,,1,1,pure prefill remains on the baseline model; Phase437 targets mixed_prefill and decode,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,miss_class_summary,K2.5-tp4ep8dp2-8k2k,prefill,other_cuda,table_missing,expected_pure_prefill_fallback,pure_prefill_not_in_serving_state_table,false,true,,,,,,,1,1,pure prefill remains on the baseline model; Phase437 targets mixed_prefill and decode,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-32k3k,decode,collective_other,,phase437_required_grid_coverage,rectangular_grid_density,true,true,,,9,10,9,10,2,8,Phase437 must collect a real 2D grid; diagonal-only points are insufficient.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,,phase437_required_grid_coverage,rectangular_grid_density,true,true,,,9,10,9,10,2,8,Phase437 must collect a real 2D grid; diagonal-only points are insufficient.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-32k3k,decode,moe_gemm_or_aux,,phase437_required_grid_coverage,rectangular_grid_density,true,true,,,9,10,9,10,2,8,Phase437 must collect a real 2D grid; diagonal-only points are insufficient.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-32k3k,decode,other_cuda,,phase437_required_grid_coverage,rectangular_grid_density,true,true,,,9,10,9,10,2,8,Phase437 must collect a real 2D grid; diagonal-only points are insufficient.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-32k3k,mixed_prefill,collective_other,,phase437_required_grid_coverage,decode_batch_high,true,true,,,32000,32000,9,9,1,1,Phase437 decode-batch sweep must cover the observed high batch endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-32k3k,mixed_prefill,ep_a2a,,phase437_required_grid_coverage,decode_batch_high,true,true,,,32000,32000,9,9,1,1,Phase437 decode-batch sweep must cover the observed high batch endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-32k3k,mixed_prefill,moe_gemm_or_aux,,phase437_required_grid_coverage,decode_batch_high,true,true,,,32000,32000,9,9,1,1,Phase437 decode-batch sweep must cover the observed high batch endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-32k3k,mixed_prefill,other_cuda,,phase437_required_grid_coverage,decode_batch_high,true,true,,,32000,32000,9,9,1,1,Phase437 decode-batch sweep must cover the observed high batch endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,decode,collective_other,,phase437_required_grid_coverage,rectangular_grid_density,true,true,,,9,51,9,51,42,42,Phase437 must collect a real 2D grid; diagonal-only points are insufficient.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,decode,collective_other,,phase437_required_grid_coverage,token_or_decode_bucket_high,true,true,,,53,64,53,64,12,15,Phase437 token/decode bucket sweep must cover the observed high token endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,,phase437_required_grid_coverage,rectangular_grid_density,true,true,,,9,51,9,51,42,42,Phase437 must collect a real 2D grid; diagonal-only points are insufficient.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,,phase437_required_grid_coverage,token_or_decode_bucket_high,true,true,,,53,64,53,64,12,15,Phase437 token/decode bucket sweep must cover the observed high token endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,,phase437_required_grid_coverage,rectangular_grid_density,true,true,,,9,51,9,51,42,42,Phase437 must collect a real 2D grid; diagonal-only points are insufficient.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,,phase437_required_grid_coverage,token_or_decode_bucket_high,true,true,,,53,64,53,64,12,15,Phase437 token/decode bucket sweep must cover the observed high token endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,,phase437_required_grid_coverage,rectangular_grid_density,true,true,,,9,51,9,51,42,42,Phase437 must collect a real 2D grid; diagonal-only points are insufficient.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,,phase437_required_grid_coverage,token_or_decode_bucket_high,true,true,,,53,64,53,64,12,15,Phase437 token/decode bucket sweep must cover the observed high token endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,mixed_prefill,collective_other,,phase437_required_grid_coverage,decode_batch_high,true,true,,,8000,8000,2,63,62,66,Phase437 decode-batch sweep must cover the observed high batch endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,mixed_prefill,ep_a2a,,phase437_required_grid_coverage,decode_batch_high,true,true,,,8000,8000,35,63,29,33,Phase437 decode-batch sweep must cover the observed high batch endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,mixed_prefill,moe_gemm_or_aux,,phase437_required_grid_coverage,decode_batch_high,true,true,,,8000,8000,35,63,29,33,Phase437 decode-batch sweep must cover the observed high batch endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,collection_axis_requirement,K2.5-tp4ep8dp2-8k2k,mixed_prefill,other_cuda,,phase437_required_grid_coverage,decode_batch_high,true,true,,,8000,8000,35,63,29,33,Phase437 decode-batch sweep must cover the observed high batch endpoint.,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,1,1,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,2,2,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,3,3,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,4,4,8,52,8,52,,3,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,5,5,8,52,8,52,,2,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,6,6,8,52,8,52,,3,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,7,7,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,9,9,8,52,8,52,,7,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,collective_other,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,10,10,8,52,8,52,,1,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,1,1,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,2,2,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,3,3,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,4,4,8,52,8,52,,3,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,5,5,8,52,8,52,,2,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,6,6,8,52,8,52,,3,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,7,7,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,9,9,8,52,8,52,,7,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,ep_a2a,interpolation_gap,in_scope_grid_gap,rectangular_grid_density,true,true,10,10,8,52,8,52,,1,existing diagonal/window points do not bracket this 2D query,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,moe_gemm_or_aux,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,1,1,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
phase437_serving_state_precheck,workpoint_scatter,K2.5-tp4ep8dp2-32k3k,decode,moe_gemm_or_aux,bucket_below_range,expected_ramp_or_tail_fallback,low_ramp_below_grid,false,true,2,2,8,52,8,52,,1,low-batch or partial-prefill ramp/tail query; keep fallback unless it becomes a gate target,false,false,false,false,false,true,No-Go
